"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Virus Taller TDLComputación - Juan Morales.nlogox"
"experimento_final"
"05/30/2026 22:43:21:976 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","infectiousness","[step]","count turtles with [sick?]"
"2","10","500","0"
"3","10","500","0"
"5","10","500","0"
"4","10","500","0"
"6","10","500","0"
"7","10","500","0"
"8","10","500","0"
"9","10","500","0"
"10","10","500","0"
"11","10","500","0"
"12","10","500","0"
"13","10","500","0"
"14","10","500","0"
"15","10","500","0"
"16","10","500","0"
"17","10","500","0"
"18","10","500","0"
"19","10","500","0"
"20","10","500","0"
"21","10","500","0"
"22","10","500","0"
"23","10","500","0"
"24","10","500","0"
"25","10","500","0"
"26","10","500","0"
"27","10","500","0"
"28","10","500","0"
"29","10","500","0"
"30","10","500","0"
"31","10","500","0"
"32","10","500","0"
"33","10","500","0"
"34","10","500","0"
"35","10","500","0"
"36","10","500","0"
"37","10","500","0"
"38","10","500","0"
"39","10","500","0"
"40","10","500","0"
"41","10","500","0"
"43","10","500","0"
"42","10","500","0"
"44","10","500","0"
"45","10","500","0"
"46","10","500","0"
"47","10","500","0"
"48","10","500","0"
"49","10","500","0"
"50","10","500","0"
"51","20","500","0"
"52","20","500","0"
"53","20","500","0"
"54","20","500","0"
"55","20","500","0"
"56","20","500","0"
"57","20","500","0"
"58","20","500","0"
"59","20","500","0"
"60","20","500","0"
"61","20","500","0"
"63","20","500","0"
"62","20","500","0"
"64","20","500","0"
"65","20","500","0"
"66","20","500","0"
"67","20","500","0"
"69","20","500","0"
"68","20","500","0"
"71","20","500","0"
"70","20","500","0"
"72","20","500","0"
"73","20","500","0"
"74","20","500","0"
"75","20","500","0"
"76","20","500","0"
"77","20","500","0"
"78","20","500","0"
"79","20","500","0"
"80","20","500","0"
"81","20","500","0"
"82","20","500","0"
"83","20","500","0"
"84","20","500","0"
"85","20","500","0"
"86","20","500","0"
"87","20","500","0"
"88","20","500","0"
"89","20","500","0"
"90","20","500","0"
"91","20","500","0"
"92","20","500","0"
"93","20","500","0"
"94","20","500","0"
"95","20","500","0"
"96","20","500","0"
"97","20","500","0"
"98","20","500","0"
"99","20","500","0"
"100","20","500","0"
"101","30","500","0"
"102","30","500","52"
"103","30","500","23"
"104","30","500","0"
"105","30","500","24"
"106","30","500","0"
"107","30","500","0"
"108","30","500","0"
"109","30","500","0"
"110","30","500","0"
"111","30","500","0"
"112","30","500","0"
"113","30","500","0"
"114","30","500","20"
"115","30","500","0"
"116","30","500","14"
"117","30","500","1"
"118","30","500","0"
"119","30","500","19"
"120","30","500","0"
"121","30","500","26"
"122","30","500","26"
"123","30","500","0"
"124","30","500","27"
"125","30","500","0"
"126","30","500","0"
"127","30","500","0"
"128","30","500","0"
"129","30","500","0"
"130","30","500","39"
"131","30","500","37"
"132","30","500","0"
"133","30","500","3"
"134","30","500","20"
"135","30","500","0"
"136","30","500","0"
"137","30","500","0"
"138","30","500","24"
"139","30","500","0"
"140","30","500","0"
"141","30","500","0"
"142","30","500","0"
"143","30","500","0"
"144","30","500","13"
"145","30","500","0"
"146","30","500","0"
"147","30","500","10"
"149","30","500","0"
"148","30","500","45"
"150","30","500","51"
"151","40","500","43"
"152","40","500","42"
"153","40","500","54"
"154","40","500","46"
"155","40","500","46"
"156","40","500","0"
"157","40","500","48"
"158","40","500","44"
"159","40","500","49"
"160","40","500","0"
"161","40","500","34"
"162","40","500","29"
"163","40","500","0"
"164","40","500","21"
"165","40","500","55"
"166","40","500","33"
"167","40","500","18"
"168","40","500","40"
"169","40","500","70"
"170","40","500","61"
"171","40","500","22"
"172","40","500","5"
"173","40","500","58"
"174","40","500","28"
"175","40","500","32"
"176","40","500","74"
"177","40","500","35"
"178","40","500","0"
"179","40","500","42"
"180","40","500","77"
"181","40","500","38"
"182","40","500","36"
"183","40","500","34"
"184","40","500","55"
"185","40","500","8"
"186","40","500","62"
"187","40","500","45"
"188","40","500","46"
"189","40","500","53"
"190","40","500","40"
"191","40","500","58"
"192","40","500","66"
"193","40","500","25"
"194","40","500","73"
"195","40","500","12"
"196","40","500","25"
"197","40","500","18"
"198","40","500","25"
"199","40","500","25"
"1","10","500","0"
"200","40","500","57"
"201","50","500","71"
"203","50","500","76"
"204","50","500","73"
"205","50","500","77"
"206","50","500","71"
"207","50","500","32"
"208","50","500","66"
"209","50","500","46"
"210","50","500","68"
"211","50","500","64"
"212","50","500","61"
"213","50","500","65"
"214","50","500","76"
"215","50","500","53"
"216","50","500","51"
"217","50","500","61"
"218","50","500","0"
"220","50","500","85"
"219","50","500","16"
"222","50","500","51"
"221","50","500","52"
"224","50","500","63"
"223","50","500","52"
"225","50","500","55"
"226","50","500","87"
"227","50","500","61"
"228","50","500","65"
"229","50","500","78"
"230","50","500","86"
"231","50","500","59"
"232","50","500","40"
"233","50","500","118"
"234","50","500","66"
"235","50","500","70"
"236","50","500","72"
"237","50","500","0"
"238","50","500","66"
"239","50","500","36"
"240","50","500","49"
"241","50","500","66"
"242","50","500","50"
"243","50","500","75"
"244","50","500","88"
"245","50","500","0"
"246","50","500","66"
"247","50","500","71"
"248","50","500","41"
"249","50","500","65"
